StationName,Latitude,Longitude,line_name,Entertainment_Attraction,Workplace_Attraction,Health_Attraction,Education_Attraction,Other_Attraction,Entertainment_Distance(m),Workplace_Distance(m),Health_Distance(m),Education_Distance(m),Other_Distance(m),Entertainment_WalkingDuration(min),Workplace_WalkingDuration(min),Health_WalkingDuration(min),Education_WalkingDuration(min),Other_WalkingDuration(min),Entertainment_Latitude,Entertainment_Longitude,Workplace_Latitude,Workplace_Longitude,Health_Latitude,Health_Longitude,Education_Latitude,Education_Longitude,Other_Latitude,Other_Longitude,Jan.Morning,Jan.Night,Feb.Morning,Feb.Night,Mar.Morning,Mar.Night,Apr.Morning,Apr.Night,May.Morning,May.Night,Jun.Morning,Jun.Night,Jul.Morning,Jul.Night,Aug.Morning,Aug.Night,Sep.Morning,Sep.Night,Oct.Morning,Oct.Night,Nov.Morning,Nov.Night,Dec.Morning,Dec.Night,Entertainment_Walkable(yes/no),Workplace_Walkable(yes/no),Health_Walkable(yes/no),Education_Walkable(yes/no),Other_Walkable(yes/no),Avg_Temperature
National Museum,24.64602702,46.71467743,"Blue, Green Line",National Museum,Alessa Industries Co. (Head Office),Al Abeer Medical Center,روضة مدارس الرياض,Hayat Alriyadh Hotel Al-Washm,650.0,598.1249335,324.4101453,2753.897899,989.2827412,9,7,4.0,33.0,12.0,24.646938,46.708332,24.651295,46.715874,24.64456,46.717452,24.6588,46.691331,24.652367,46.70781,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,No,Yes,27.9375
Fast 4E1 Station,24.86021302,46.70400756,Yellow Line,معرض نسق,BinLadin Site Office (PNUFW),PNU fitness Center,SDS Saudi Driving School (المدرسة السعودية للقيادة),Drivers license training school,1963.455834,599.9250885,925.650738,2200.150286,1000.0,24,7,11.0,26.0,14.0,24.852425,46.721473,24.854843,46.704582,24.854906,46.711076,24.860835,46.725804,24.85115315,46.71058903,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,No,Yes,27.9375
Riyadh Metro Station - MOE,24.74070436,46.69476215,"Red, Green Line",BIOTIC (بيوتك),Khafrah and Jasser Office (مكتب الخفرة و الجاسر للمحاماة),Medical Glamor Clinics,Prince sultan university,Heritage Library (المكتبة التراثية),510.7349752,8.995875865,906.248564,800.0,580.9469555,6,0,11.0,10.0,7.0,24.736117,46.695016,24.740742,46.694841,24.732749,46.696712,24.7663,46.694581,24.738186,46.689722,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
Riyadh Airport Metro Station | Terminal 5,24.94062488,46.71045292,Yellow Line,Pinkberry,Executive Office (المكتب التنفيذي),NaN,Rwdat Abu Bader Alshamry (روضة ابو بدر الشمري),Terminal 5,148.9369897,314.7064346,NaN,4929.248115,850.0,2,4,NaN,59.0,12.0,24.941769,46.711221,24.940704,46.713573,NaN,NaN,24.896457,46.706279,24.94243721,46.71190052,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,No,No,Yes,27.9375
Riyadh metro station - Dr.soliman Al habib,24.81157969,46.62569657,Blue Line,Breehant Roastery,SAB Head Office (برج ساب),Dr.soliman Al habib,مدارس معالم التربية الأهلية,ION Hotel & Apartments,114.4532409,1492.183149,190.0,1128.306015,340.5378874,1,18,3.0,14.0,4.0,24.8126,46.625547,24.822508,46.617116,24.824755,46.640024,24.804154,46.633315,24.808537,46.62608,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
1E2 Riyadh Metro Station - Passport Department,24.65947144,46.70460924,Blue Line,Subway (صب واي),Passport office,Thuriah Medical Center,روضة مدارس الرياض,Grand Plaza Dhabab Hotel (فندق جراند بلازا الضباب),399.1976119,800.0,3009.844835,1343.902911,509.1017243,5,11,36.0,16.0,6.0,24.66121,46.701153,24.661985,46.703618,24.675457,46.680572,24.6588,46.691331,24.663936,46.705726,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,No,Yes,Yes,27.9375
Riyadh Metro Station - King Salman Oasis,24.71696061,46.63864341,Red Line,Alraed groove,Alinma Bank Head Office (مصرف الإنماء المركز الرئيسي),The Medical Clinic at KACST,King Saud University Covid-19 Vaccination Center,KSU Central Library (المكتبة المركزية),1100.0,3858.770425,106.0237921,1261.40167,1194.7569,16,46,1.0,15.0,14.0,24.724162,46.641262,24.706713,46.675141,24.717908,46.638762,24.728216,46.637085,24.727455,46.636105,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,No,Yes,Yes,Yes,27.9375
Riyadh Metro Station | SABIC,24.80681303,46.70849702,"Yellow, purple line",OREGANO PIZZERIA (اوريجانو بيتزاريا),Yamama Cement Head Office,Cmai medical center (مركز سيماي الطبي),Imam university,Holiday Gulf Hotel,1578.013473,640.74039,1477.049782,1200.0,1494.408493,19,8,18.0,16.0,18.0,24.805865,46.692898,24.805309,46.714625,24.796715,46.69899,24.795191,46.715236,24.798413,46.69694,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
5B4 Metro station,24.70895017,46.7078858,Green Line,King salman park,The Saudi Investment Bank (SAIB) - Head Office (البنك السعودي للاستثمار - الإدارة العامة),Derma Clinic (عيادات ديرما),Alrayah School (مدارس الراية الأهلية),Muscle Gym (نادي العضلة الرياضي),950.0,2867.811824,1520.205286,154.7468933,101.5530696,13,34,18.0,2.0,1.0,24.706298,46.707615,24.683311,46.71096,24.696201,46.702452,24.708722,46.709397,24.708138,46.707426,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,No,Yes,Yes,Yes,27.9375
Riyadh Metro Al Hilla Station,24.632132,46.72122698,Orange Line,Batha market Dahab,Public Administration of Land and Property,Safa Makkah Polyclinic (New Safa Makkah),Yara International School,Cemetery,800.0,700.0,1200.0,550.0,500.0,11,10,17.0,8.0,7.0,24.630388,46.714071,24.63259,46.7216,24.632969,46.732829,24.630881,46.717374,24.63128377,46.72164824,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
Riyadh Metro Ministry of Finance Station,24.65138614,46.71651628,Green Line,Al Watan Park,Ministry of Finance,KAUH,International Indian School - Riyadh (Girl's Section),Hayat Alriyadh Hotel Al-Washm,900.0,110.0,1100.0,1700.0,886.5950546,13,2,16.0,23.0,11.0,24.646932,46.709651,24.651295,46.715874,24.652624,46.710503,24.6588,46.691331,24.652367,46.70781,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
1G2 Riyadh Metro Station - Al Iman Hospital,24.74148527,46.69465623,Blue Line,BIOTIC (بيوتك),Ministry of education,Medical Glamor Clinics,Jolt Prince Sultan University,Heritage Library (المكتبة التراثية),598.0291178,750.0,993.3670613,873.067023,618.7846652,7,10,12.0,10.0,7.0,24.736117,46.695016,24.741223,46.694914,24.732749,46.696712,24.734805,46.699199,24.738186,46.689722,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
Riyadh Metro King Fahad District Station,24.74557209,46.65900466,Blue Line,Marina Mall,Amazon Head Office,Touch Medical Clinic,AlTarbiya Private Schools (مدارس التربية الاهلية),Vanilla Spa,700.0,114.7976641,327.6123774,634.9280541,672.1470659,10,1,4.0,8.0,8.0,24.743754,46.658185,24.744647,46.6585,24.743394,46.65682,24.745098,46.652739,24.74378,46.652648,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
"1B4 Metro station, Line 1, Riyadh Metro",24.72209407,46.67109894,Blue Line,Abaya Mall,Samba Corporate CBG | Kingdom Tower,Al Shablan Clinic (مستوصف الشبلان),Tarbia Pre-School (روضة التربية),Four Seasons Hotel (فندق الفور سيزونز),550.0,1245.613461,1223.053381,993.2542619,1215.972798,8,15,15.0,12.0,15.0,24.72251,46.673171,24.711321,46.674479,24.716608,46.681594,24.713421,46.668746,24.711639,46.674628,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
Riyadh Metro Al Murooj Station 1A2,24.75521355,46.65417848,Blue Line,Unsörso Cafè,Riyadh Region Appellate Court,Touch Medical Clinic,Office (Najd Schools),Mövenpick Hotel & Residences Riyadh,282.4159825,100.0,1341.070026,248.1989247,1032.892296,3,1,16.0,3.0,12.0,24.757206,46.652444,24.754849,46.653648,24.743394,46.65682,24.753137,46.65508,24.764491,46.653668,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
2C1 Riyadh Metro Station - King Abdulaziz Road,24.73705565,46.68543104,Red Line,VOX Cinemas,yesser e-Government program,مجمع عيادات د.مساعد الزلال Clinics Center Dr. Musad Alzlal,Olaya Private Schools (مدارس العليا الأهلية),Heritage Library (المكتبة التراثية),350.0,138.5660218,781.1890062,465.844812,451.2077594,6,2,9.0,6.0,5.0,24.738221,46.687562,24.738095,46.686188,24.739308,46.692758,24.741231,46.685053,24.738186,46.689722,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
Riyadh Metro Station - KhuraisÂ Road,24.74106149,46.79833803,Purple Line,عنوان القهوة,The Office,ALSUBHI CLINIC (عيادات الصبحي),مدارس الشمس الأهلية,MercedesBenz Authorised service centre and bodyshop,562.9213681,439.177955,2211.923347,838.283271,550.0,7,5,27.0,10.0,8.0,24.741791,46.803854,24.737271,46.79956,24.748991,46.77825,24.742975,46.790309,24.74118382,46.80009956,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,No,Yes,Yes,27.9375
5B2 Station Riyadh Metro Station - Officers Club,24.69817005,46.71791768,Green Line,The California Burger (ذي كاليفورنيا برجر),Armed Forces Officers Club,Care Medical Center (عيادات كير),Al-Sahafa International School,Suite Inn Hotel (فندق سويت إن),690.8806926,350.0,1971.487262,770.6058021,801.7143486,8,4,24.0,9.0,10.0,24.696684,46.724558,24.683311,46.71096,24.690541,46.700302,24.70373,46.713364,24.694087,46.711377,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
Riyadh Metro Station - ArÂ Rabi,24.78648129,46.65998627,"Yellow , purple line",Saudi Electricity Company Club (نادي الشركة السعودية للكهرباء),SNB AlAhli,Ok Clinic,Kingdom Schools (مدارس المملكة),Cotton Nail Spa,1630.723853,850.0,258.3175402,509.0911013,183.9042028,20,12,3.0,6.0,2.0,24.781482,46.675172,24.78298,46.66297,24.788623,46.658995,24.791011,46.659253,24.785819,46.658317,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
RIYADH METRO 1C3 STATION,24.6969827,46.68416572,Blue Line,Centria (سنتريا),Human Resources Development Fund,Hukamaa Najd Clinic (عياده حكماء نجد),روضة نورة,Narcissus Hotel and Residence,40.00387734,500.0,860.4195294,669.5875261,127.4063725,0,7,10.0,8.0,2.0,24.697208,46.683857,24.691986,46.681267,24.704719,46.684341,24.698291,46.677696,24.695878,46.683831,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
Riyadh Metro Station - Khalid Bin AkwakeedÂ Road,24.76794214,46.75859446,Red Line,Al Hatab Bakery (أفران الحطب),stc store,Dr. Abdulathem AlBassam Medical Center (مركز الدكتور عبدالعظيم البسام الطبي),روضة القادة النموذجية,Golden Tulip Hotel,162.7618428,160.0,866.9674713,362.4455477,1014.381349,2,2,10.0,4.0,12.0,24.769039,46.757527,24.750172,46.741884,24.761498,46.763428,24.771194,46.758348,24.770912,46.768094,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
Riyadh Metro Station - 3A2,24.58587453,46.5595733,Orange Line,Al Nassr Stadium,مركز صحي حي الملك فهد - وزارة الصحه,Al Barak Medical Polyclinic,مدرسة هلال بن أمية الابتدائية,Rb 335 - Blaesh Supermarket,1100.0,3507.487626,294.1246957,301.284829,676.266836,15,42,4.0,4.0,8.0,24.578706,46.569556,24.616628,46.551857,24.585312,46.556731,24.588572,46.559854,24.586205,46.552895,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,No,Yes,Yes,Yes,27.9375
Riyadh Metro Station - Skirinah,24.61823799,46.72475222,Blue Line,AL TYSEER (مطاعم التيسير),Ministry of Media (وزارة الإعلام),Al Falah Hospital,مدرسة ابن خلدون المتوسطة,Gloria-Inn Hotel (فندق جلوريا ان),150.0990897,3890.764631,750.0,548.1908003,1586.181686,2,47,10.0,7.0,19.0,24.618289,46.726236,24.642629,46.697153,24.619372,46.729464,24.620346,46.71985,24.630712,46.71714,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,No,Yes,Yes,Yes,27.9375
Riyadh Metro East Depot,24.80005128,46.83431076,Red Line,VIP Lounge King Fahad International Stadium (الصالة الملكية استاد الملك فهد الدولي),Delta Janadriya Office,Nebras Medical Centre (مركز نبراس الطبي),الي روضة خريم,Taj Najd Hall for events and conferences,1376.231497,1093.392859,3343.710284,2072.931745,400.0,17,13,40.0,25.0,6.0,24.788255,46.838437,24.805964,46.842966,24.807604,46.802246,24.7853,46.846867,24.80251995,46.83537456,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,No,No,Yes,27.9375
Metro station - SABB,24.83179928,46.61544086,Blue Line,ممشى الياسمين,General Authority for Statistics,‪Aesthetica Clinic (عيادات اسثتيكا),روضة الملهم,CocoCut Salon,922.6208394,300.0,2601.579764,458.8203455,1111.471374,11,4,31.0,6.0,13.0,24.824357,46.619483,24.832811,46.608716,24.824755,46.640024,24.828284,46.61306,24.832404,46.604447,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,No,Yes,Yes,27.9375
Riyadh Metro Station - Jarir District,24.67349427,46.76049176,Orange Line,Baeza Coffee (قهوة بياسة),"General Department of Parks, Malaz Sites Coordination Unit",Light Clinic (عيادات لايت),مدرسة المروة الابتدائية,Nails Tales Spa,1026.274675,1100.0,2763.11104,913.8050832,2089.147237,12,15,33.0,11.0,25.0,24.678333,46.769141,24.671572,46.728625,24.695917,46.772279,24.681683,46.761255,24.691618,46.765942,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,No,Yes,No,27.9375
5A3 Station Riyadh Metro Station - Al Wizarat,24.6780533,46.71912907,Green Line,Sweets Corner (ركن الحلويات),Command of the Royal Saudi Naval Forces in Riyadh,Care Medical Center (عيادات كير),Jawahir Al Riyadh International School,Braira Hotel (فندق بريرا),151.3175139,650.0,2355.081039,471.0342135,442.259312,2,9,28.0,6.0,5.0,24.679409,46.719259,24.683311,46.71096,24.690541,46.700302,24.674063,46.720694,24.674178,46.718144,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,No,Yes,Yes,27.9375
Riyadh Metro Station - Sultanah,24.61505372,46.68648626,Orange Line,Padel Blue,Luxury Events Office,Medical Tower 1 - KSMC,37 Middle school,Khyber Hotel Shamesi,800.0,2097.773656,1510.21456,1080.138696,1962.94144,11,25,18.0,13.0,24.0,24.619486,46.698156,24.609838,46.666544,24.627908,46.69131,24.619656,46.695896,24.629789,46.69718,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,No,Yes,Yes,Yes,27.9375
Riyadh Metro Station - Riyadh Exhibition Center,24.75570479,46.7265571,Red Line,Tuxedo Coffee,Security Forces Officers Club (نادي ضباط قوى الأمن),Banan Medical Center (مركز بنان الطبي),Kids Planet School (مدرسة كواكب الأطفال),Riyadh International Convention and Exhibition Centre,347.9791668,1665.482163,368.5192214,274.4075066,1500.0,4,20,4.0,3.0,20.0,24.756232,46.729954,24.750172,46.741884,24.753524,46.723809,24.754491,46.724191,24.75319245,46.72676446,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
Riyadh Metro Station -Â 3B1,24.58437961,46.58783303,Orange Line,Biz Cafe (بيز كافيه),Arab Dalla head office (المكتب الرئيسي لدلة العرب),Al Osra International Hospital,مدارس العبير الأهلية | القسم المتوسط,Healthy body gym,635.7794586,1446.684744,750.0,541.2331134,199.1567648,8,17,10.0,6.0,2.0,24.582403,46.593733,24.572888,46.594541,24.585003,46.59982,24.580865,46.58413,24.585676,46.586474,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
